# zee-core-freeze-beyanlari-1
# enforcement_parent	dff1823ab62fc4ed2f51cf2e6a7ece0b2d6f2e38
# commit	sinif	urun	is	reproducer	etkilenen_proje	minimalite	karar
44a4aba12cba4509ce93a9d379ca9ce798897a76	maintenance	-	-	-	-	K-173 soak kapısı için yalnız bakım ikilisi ve testleri eklendi; yeni dil özelliği, tanı veya kullanıcı yüzeyi açılmadı.	-
024912ea3af8739820978f228a48262eaa8428f8	correctness	-	K-166	regression/parser/girintisiz-islem-basligi.dil	-	Yalnız tanı önerisi, yanıltıcı kod ve çoklu tanı gürültüsü düzeltildi; grammar, geçerli program davranışı, tek-tanılı derleme ve tanı kimlikleri değişmedi.	adr/024-parser-hata-kurtarma-politikasi.md
3f0f5feeef4c4eb2add753a2757e99b5c83a95dd	maintenance	-	-	-	-	K-166 tanı kalitesi kapısı için yalnız bakım ikilisi, testleri ve belgeleri eklendi; yeni dil özelliği veya kullanıcı yüzeyi açılmadı.	-
ac3acb80fe7ca7e888a2ce73213d9816e2dac00f	dogfood-change	kanit-ozeti	K-164	dogfood/kanit-ozeti/kaynak/regresyon_raporu.dil	dogfood/kanit-ozeti/kaynak/ana.dil	Yalnız köken izleme ve tanı etiketleme eklendi: yükleyici çakışmayı yola değil tanımlandığı kökene göre sayar, yeni grammar/kalıp/tanı kodu açılmadı, görünürlük ve kapsülleme kuralı değişmedi; ürün bu iki düzeltme olmadan derlenemiyor ve hatalarını yerinde göremiyordu.	adr/072-ikinci-urun-ve-birim-kokenli-tanilar.md
942fb263da65e8bb2f7db6c266eac178b9d13941	maintenance	-	-	-	-	Yeni grammar, kalıp, tanı kodu ya da runtime davranışı yok; yalnız bakım ikilisi olcum için aarch64 Linux CPU adı yedeği ile test/betik taşınabilirliği (K-178 bulgusu günlükte).	-
a89ea9361dfe40224b44fbe13c115154b923bf74	correctness	-	K-178	regression/runtime/derinlik-499-resmi-yiginda.dil	-	Yalnız yürütme iş parçacığının yığın rezervasyonu büyütüldü ve testler resmî yığına alındı; yeni grammar, kalıp, tanı kodu ya da anlam değişikliği yok, C019 sınırı 500 olarak kaldı.	spec/05-degerlendirme.md
d083de76a44605fc65f3328f660adabf845eb569	maintenance	-	-	-	-	Yeni grammar, kalıp, tanı kodu ya da runtime davranışı yok; Tier-1 CI bulguları için ölçüm ikilisi, test parametresi ve satır sonu politikası.	-
1dab5f3f97636c2244778b2b86bb7f63cc110ce3	maintenance	-	-	-	-	Yeni grammar, kalıp, tanı kodu ya da runtime davranışı yok; yalnız iki bakım ikilisinin test/işletim ayrıntısı.	-
3c6b788414f141cf84826bf78c98fc64bbd4067a	correctness	-	K-182	compiler/src/kalici_dosya.rs	-	Yalnız Windows dosya açma yolunda sınırlı yeniden deneme; yeni grammar, kalıp, tanı kodu ya da Unix runtime davranışı yok. Havuz testi bekleme ve bash betiği testlerinin cfg(unix) sınırı test-only.	spec/08-kalici-dosya.md
2a5edc34a7596035401bc6098ee837ccc5949a56	maintenance	-	-	-	-	Yeni grammar, kalıp, tanı kodu ya da runtime davranışı yok; yalnız yorum satırı bütçesi.	-
1e23ba7340750098459ac07ce6eba71515793642	correctness	-	K-182	compiler/src/kalici_dosya.rs	-	Yalnız Windows dosya açma yeniden denemesinin eşleştiği ham hata kodları genişletildi; yeni grammar, kalıp, tanı kodu ya da Unix runtime davranışı yok.	spec/08-kalici-dosya.md
59c1d9ba4badb81d843b771a8448a10605a7957d	maintenance	-	-	-	-	Yeni grammar, kalıp, tanı kodu ya da runtime davranışı yok; yalnız test yardımcısı lint niteliği.	-
b11bfb59b44ee4d075f4ae13ab6f5e3675092efd	maintenance	-	-	-	-	Yeni grammar, kalıp, tanı kodu ya da runtime davranışı yok; yalnız test parametresi ve backlog/günlük notu.	-
41ef88b864a13ff8f0eb6de64ae2d5ffc2a1ee49	correctness	-	K-183	compiler/src/kalici_dosya.rs	-	Yalnız kilit bekleme yolu (yoklama → bloklayan bekleme) ve platform katmanının dosyaya taşınması; yeni grammar, kalıp, tanı kodu yok, süre sınırı ve hata metni aynı.	adr/075-adil-kalici-yazma-kilidi.md
