# zee-spec-madde-kaniti-1
# madde	ozet	durum	kanit	not
spec/08-kalici-dosya.md#9d69c0c80ef3231b	- Linux/macOS mode, uid ve gid'yi korumak ZORUNDADIR.	kanitli	compiler/src/kalici_dosya.rs::replace_mod_sahip_ve_grubu_korur;compiler/src/kalici_dosya.rs::replace_genisletilmis_ozniteligi_korur;compiler/src/kalici_dosya.rs::replace_macos_acl_kuralini_korur	
spec/08-kalici-dosya.md#78d5f45e5d07982f	- Bu kapsamın uygulanamadığı destekli platform hata vermek ZORUNDADIR; b…	kanitli	compiler/src/kalici_dosya.rs::replace_windows_named_stream_metadata_sini_korur;compiler/src/kalici_dosya.rs::replace_genisletilmis_ozniteligi_korur	
spec/09-son-tarih-ve-iptal.md#98095a07807763da	Normatif kaynak: RFC-0011 §2–§4. Durum: **TANIMLI** (K-085/K-133/K-134).	kanitli	compiler/tests/ag_ve_esz_testi.rs::golden_27_zaman_asimi;compiler/tests/ag_ve_esz_testi.rs::zaman_asimi_beklemeyi_keser_ve_sonraki_yan_etkiyi_engeller;compiler/tests/ag_ve_esz_testi.rs::son_tarih_dosya_yazma_etkisinin_hemen_onunde_yeniden_denetlenir;compiler/tests/ag_ve_esz_testi.rs::ic_ve_dis_son_tarihlerin_sahibi_karistirilmaz;compiler/tests/ag_ve_esz_testi.rs::gorev_httpden_once_sira_verince_son_tarihi_eski_sureyle_kullanmaz;compiler/tests/web_testi.rs::zaman_asimi_tamponlu_yaniti_cerezi_ve_oturum_mutasyonunu_birlikte_geri_alir;compiler/tests/web_testi.rs::istek_son_tarihi_504_doner	
spec/10-disari-acik-islem-sozlesmesi.md#1fb193d055f2d42a	Normatif kaynak: RFC-0006 §1/§5, RFC-0007 §2 ve RFC-0009 §2–§4.1. Durum:…	kanitli	compiler/tests/acik_imza_testi.rs::acik_imzali_islem_cagrilmasa_da_govdesi_denetlenir;compiler/tests/birim_testi.rs::disari_acik_islem_tam_sozlesme_ister;compiler/tests/golden_testi.rs::golden_33_acik_islem_imzasi	
spec/10-disari-acik-islem-sozlesmesi.md#73fce315eaf483dd	Bu biçimde parametre türleri bütün erişilebilir yerel çağrılardan birleş…	kanitli	compiler/tests/birim_testi.rs::disari_acik_islem_tam_sozlesme_ister;compiler/tests/proje_testi.rs::paket_islemi_eksik_public_sozlesmeyle_alinamaz;compiler/tests/acik_imza_testi.rs::acik_ve_cikarimli_parametre_karistirilamaz;compiler/tests/cagri_cikarimi_testi.rs::her_parametre_kendi_kisit_kumesini_siradan_bagimsiz_birlestirir	
spec/10-disari-acik-islem-sozlesmesi.md#f57d072e0522c682	- Parametresiz public işlem de dönüş satırını yazmak ZORUNDADIR.	kismi	compiler/tests/birim_testi.rs::disari_acik_islem_tam_sozlesme_ister	Parametresiz public işlemde eksik dönüş satırı için ayrı olumsuz vaka yok; T039 parametreli biçimde kanıtlı.
spec/10-disari-acik-islem-sozlesmesi.md#4f2c520c81794fe7	Açık işlem çağrılmasa bile gövdesi denetlenir. Bildirilen dönüş ile bütü…	kanitli	compiler/tests/acik_imza_testi.rs::acik_imzali_islem_cagrilmasa_da_govdesi_denetlenir;compiler/tests/acik_imza_testi.rs::acik_donus_turu_govdeyle_uyusur;compiler/tests/acik_imza_testi.rs::acik_deger_donusu_butun_yollari_kapatir;compiler/tests/acik_imza_testi.rs::deger_dondurmeyen_sozlesme_deger_donduremez	
spec/11-uygulama-eylemleri-ve-web-adaptoru.md#d04331885a131665	Sorgu ve form alan adları/değerleri strict URL-form kodlamasıyla çözülür…	kanitli	compiler/tests/web_testi.rs::bozuk_yuzde_kodlamasi_ve_utf8_formu_400_ile_reddedilir;compiler/tests/web_testi.rs::istek_parcala_sorgu_ve_govde;compiler/tests/web_testi.rs::form_govdesi_post_ile_gelir	
spec/11-uygulama-eylemleri-ve-web-adaptoru.md#9272cc577693a077	K-140/ADR-037 uyarınca gerçek TCP isteği metne çevrilmeden önce byte tab…	kanitli	compiler/tests/http_istegi_testi.rs::origin_formu_crlf_ve_exact_govde_uzunluguyla_cozulur;compiler/tests/http_istegi_testi.rs::bare_lf_bare_cr_obs_fold_ve_nul_fail_closed_reddedilir;compiler/tests/http_istegi_testi.rs::transfer_encoding_duplicate_ve_kuralsiz_content_length_reddedilir;compiler/tests/http_istegi_testi.rs::absolute_authority_asterisk_ve_bozuk_request_line_reddedilir;compiler/tests/http_istegi_testi.rs::gecersiz_utf8_nul_eksik_ve_fazla_govde_reddedilir	
spec/12-web-guvenlik-profili.md#901a335c6b2bfc0a	POST, PUT, PATCH ve DELETE rotalarının ilk cümlesi ZORUNLU olarak tam bi…	kanitli	compiler/tests/web_testi.rs::unsafe_rota_politikasiz_derlenmez_ve_onsoz_sirasi_sabittir;compiler/tests/web_testi.rs::csrf_ve_zorunlu_alan_kapilari_403_400_ve_200_ayirir	
spec/12-web-guvenlik-profili.md#5b46cd1562479ba8	`__Host-` öneki nedeniyle Domain niteliği YASAK, Path `/` ve Secure ZORU…	kanitli	compiler/src/main.rs::proxy_profili_host_cerezini_tam_niteliklerle_ve_domainsiz_yazar;compiler/tests/web_testi.rs::girisli_panel_oturum_dongusu;compiler/src/main.rs::https_profili_hsts_ve_tarayici_korkuluklarini_tasir	
spec/12-web-guvenlik-profili.md#188b2d48016b3be1	Runtime yalnız `127.0.0.1` üzerinde düz HTTP dinler. TLS'yi aynı makined…	kanitli	compiler/src/main.rs::guvenilir_proxy_yalniz_loopback_bind_ve_es_kabul_eder;compiler/src/main.rs::proxy_host_proto_ve_unsafe_origini_birlikte_dogrular	
spec/12-web-guvenlik-profili.md#309d95beb13e7c9d	- durum değiştiren yöntemde tek `Origin` değerinin yapılandırılan origin…	kanitli	compiler/src/main.rs::proxy_host_proto_ve_unsafe_origini_birlikte_dogrular;compiler/tests/mimari_sinir_testi.rs::web_proxy_origin_tek_ag_hedefi_parserini_kullanir	
spec/12-web-guvenlik-profili.md#9d239a277ffac3c6	Proxy istemciden gelen `Forwarded`, `X-Forwarded-For` ve benzeri başlıkl…	kanitli	compiler/src/main.rs::proxy_host_proto_ve_unsafe_origini_birlikte_dogrular;compiler/src/main.rs::guvenilir_proxy_yalniz_loopback_bind_ve_es_kabul_eder;compiler/src/main.rs::guvenli_origin_ortak_ag_hedefiyle_kanoniklenir	
spec/12-web-guvenlik-profili.md#9c749ee5a0083921	Doğrulanmış kanonik istemci kimliğiyle ortak kalıcı depoda şu sabit penc…	kanitli	compiler/tests/web_cok_surec_testi.rs::iki_worker_oturumu_iptali_restarti_ve_giris_limitini_paylasir;compiler/src/web_guvenligi.rs::kalici_rate_limit_paralel_artisla_esigi_deldirmez;compiler/src/web_guvenligi.rs::ucnokta_csrf_ve_giris_pencereleri_ayri_ve_sureli_kalir	
spec/13-surumlu-morfoloji-profili.md#f1faadb503ad8f95	Profil kimliği (TANIMLI)	kanitli	compiler/tests/morfoloji_testi.rs::profil_surumu_ve_ek_tablosu_snapshot_ile_kilitlidir	
