# zee-dogfood-korpusu-1
# vaka	urun	kaynak_is	kip	beklenti	tani	cikti	dosya	not
kanit-ozeti-urunu	kanit-ozeti	K-164	proje	basarili	-	-	dogfood/kanit-ozeti/kaynak/ana.dil	Depo içi ikinci ürünün 10 birimi diskten yüklenir, dosya-okuma/yazma politikasıyla derlenir ve 19 birim testi koşar; elmas birim içe alımının gerçek kullanımıdır.
f001-test-satirinda-postfix	kanit-ozeti	K-164	denetle	basarisiz	S016	-	dogfood/kanit-ozeti/korpus/f001-test-satirinda-postfix.dil	Test doğrulamasının sol tarafı `listenin adedi` gibi postfix taşıyamaz; S016 koşul tanınmadı der.
f001-test-satirinda-ara-ad	kanit-ozeti	K-164	denetle	basarili	-	-	dogfood/kanit-ozeti/korpus/f001-test-satirinda-ara-ad.dil	Postfix önce ada bağlanır, doğrulama düz adla yapılır; ürünün bütün birim testlerinin deseni.
f003-cagri-argumaninda-birlestirme	kanit-ozeti	K-164	denetle	basarisiz	S015	-	dogfood/kanit-ozeti/korpus/f003-cagri-argumaninda-birlestirme.dil	Çağrı argümanı içinde `ile` birleştirmesi çağrı ayracıyla karışır ve S015 verir.
f003-cagri-argumani-ara-ad	kanit-ozeti	K-164	calistir	basarili	-	6	dogfood/kanit-ozeti/korpus/f003-cagri-argumani-ara-ad.dil	Birleşik anahtar önce ada bağlanır; güvenlik/spec/dogfood bölümlerinin çapraz sayım deseni.
f004-listede-icermeli	kanit-ozeti	K-164	denetle	basarisiz	T022	-	dogfood/kanit-ozeti/korpus/f004-listede-icermeli.dil	`içermeli` Metin listesinde çalışmaz; T022 metinler arası sorgu ister.
f004-birlesmis-metinde-icermeli	kanit-ozeti	K-164	denetle	basarili	-	-	dogfood/kanit-ozeti/korpus/f004-birlesmis-metinde-icermeli.dil	Bölüm satırları birleştirilip içerme metinde sorgulanır; ürünün bölüm testlerinin deseni.
f005-bos-sozluk-acik-imzaya	kanit-ozeti	K-164	denetle	basarisiz	T017	-	dogfood/kanit-ozeti/korpus/f005-bos-sozluk-acik-imzaya.dil	Türü somutlaşmamış boş sözlük açık imzalı işleme argüman olamaz; T017 belirsiz değer türü der.
f005-yerinde-sayim	kanit-ozeti	K-164	calistir	basarili	-	{"a":2,"b":1}	dogfood/kanit-ozeti/korpus/f005-yerinde-sayim.dil	İlk sayım yerinde yazılır, somutlaşan sözlük sonra açık imzalı işleme verilir; `değerleri say` deseni.
f006-yumusak-unsuzlu-parametre	kanit-ozeti	K-164	denetle	basarisiz	A001	-	dogfood/kanit-ozeti/korpus/f006-yumusak-unsuzlu-parametre.dil	`başlığı al` parametresi yumuşamış kökü (başlığ) bağlar; gövdedeki sert kök `başlık` A001 olur.
f006-sert-unsuzsuz-parametre	kanit-ozeti	K-164	calistir	basarili	-	## Özet	dogfood/kanit-ozeti/korpus/f006-sert-unsuzsuz-parametre.dil	Parametre adı sert ünsüzle bitmeyen sözcükten seçilir (`adı al`); markdown yardımcılarının deseni.
f008-tekil-cogul-ad-cakismasi	kanit-ozeti	K-164	denetle	basarisiz	A002	-	dogfood/kanit-ozeti/korpus/f008-tekil-cogul-ad-cakismasi.dil	`satır` ve `satırlar` birlikteyken `satırlara` iki ada çözülür; A002 belirsizlik hatasıdır.
f008-ayrik-liste-adi	kanit-ozeti	K-164	calistir	basarili	-	1	dogfood/kanit-ozeti/korpus/f008-ayrik-liste-adi.dil	Liste tekilin çoğulu olmayan ad alır (`çıktı`); tablo üreticisinin deseni.
f009-proje-disi-kayit-defteri	kanit-ozeti	K-164	calistir	basarisiz	C012	-	dogfood/kanit-ozeti/korpus/f009-proje-disi-kayit-defteri.dil	Ürün kökü dışındaki kayıt defteri proje kipinde erişilemez (dosya sınırı) ve hermetik dünyada yoktur; iki durumda da C012. Ürün bu yüzden dosya kipinde koşar.
f010-sira-ile-oge-erisimi	kanit-ozeti	K-164	denetle	basarisiz	S015	-	dogfood/kanit-ozeti/korpus/f010-sira-ile-oge-erisimi.dil	Listede sıra numarasıyla öğe erişimi yok; `alanların 2 inci` S015 ile reddedilir.
f010-sayacla-oge-secimi	kanit-ozeti	K-164	calistir	basarili	-	kapali	dogfood/kanit-ozeti/korpus/f010-sayacla-oge-secimi.dil	Hedef sıradaki öğe sayaç döngüsüyle seçilir; `bilgiye çevir` ve `çiftleri birleştir` deseni.
f011-sekme-kacisi	kanit-ozeti	K-164	denetle	basarisiz	S040	-	dogfood/kanit-ozeti/korpus/f011-sekme-kacisi.dil	Metin kaçışları yalnız tırnak, ters bölü ve satır sonu; `\t` S040 ile reddedilir, TSV ayracı için kaçış yoktur.
f011-ham-sekme	kanit-ozeti	K-164	calistir	basarili	-	3	dogfood/kanit-ozeti/korpus/f011-ham-sekme.dil	Sekme metin sabitine ham karakter olarak gömülür; sözcükleyici ve biçimleyici korur, TSV okuyucusunun deseni.
f013-iyelikli-bilesik-ad-daki	kanit-ozeti	K-164	denetle	basarisiz	A001	-	dogfood/kanit-ozeti/korpus/f013-iyelikli-bilesik-ad-daki.dil	İyelik ekli bileşik ad (`faz_tablosu`) `-ndaki` gezme kaynağı olarak çözülemez ve A001 verir.
f013-yalin-liste-adi	kanit-ozeti	K-164	calistir	basarili	-	a|b	dogfood/kanit-ozeti/korpus/f013-yalin-liste-adi.dil	Liste iyeliksiz yalın ad alır (`tablo`); bölüm üreticileri tabloyu bu adla yeniden bağlar.
f014-postfix-zinciri	kanit-ozeti	K-164	denetle	basarisiz	S015	-	dogfood/kanit-ozeti/korpus/f014-postfix-zinciri.dil	Postfix zinciri yok; `sonucun hatasının mesajı` spec/20 zincir kuralıyla S015 olur.
f014-ara-adli-hata-erisimi	kanit-ozeti	K-164	calistir	basarili	-	DOSYA_OKUMA	dogfood/kanit-ozeti/korpus/f014-ara-adli-hata-erisimi.dil	Hata önce ada bağlanır, kodu sonra okunur; eksik kayıt defteri açıklamasının deseni.
